lingwa de planeta,inglish,ruski,worda tip,surse
pumpi , (zwo) pump,,zwo,
pumping , (kwo) pumping,,kwo,
puna ," (kwo) punishment, penalty",,kwo,
puna-sela ," (kwo) punishment cell, lockup",,kwo,
puni , (zwo) punish,"наказать, карать; puna наказание, кара; punitive штрафной, карательный; manipuna штраф (денежный)",zwo,
punitive , (kwel) punitive,,kwel,
punival , (kwel) deserving punishment,,kwel,
punta ," (kwo) point (dot; full stop, period; item or entry in list; score; place or locality)",точка; пункт; очко (в игре); vidipunta точка зрения; puntakoma точка с запятой; dwapunta двоеточие; punta-konta счёт (в игре),kwo,
punta-konta , (kwo) score (number of points earned),,kwo,
puntakoma , (kwo) semicolon,,kwo,
puntakoma , (kwo) semicolon,,kwo,
puntuasion , (kwo) punctuation,,kwo,
puntuasion-signa , (kwo) punctuation mark,,kwo,
pupa ," (kwo) pupa, chrysalis",куколка (стадия развития насекомого),kwo,
pupila , (kwo) pupil (of eye),зрачок,kwo,
pur,"2) for, in place of","1) За, в обмен на: kupi pur mani – купить за деньги; rekompensa pur gunsa – воздаяние за работу; lu gun pur shi dolar per wik – он работает за 10 долларов в неделю; 2) за, вместо: lu chi pur tri jen – он ест за троих; zwo se pur me – сделай это за меня (вместо меня); pur hu yu pren me? за кого ты меня принимаешь? pur to - зато",,
pur ," (konekti) 1) for, in exchange for","1) За, в обмен на: kupi pur mani – купить за деньги; rekompensa pur gunsa – воздаяние за работу; lu gun pur shi dolar per wik – он работает за 10 долларов в неделю; 2) за, вместо: lu chi pur tri jen – он ест за троих; zwo se pur me – сделай это за меня (вместо меня); pur hu yu pren me? за кого ты меня принимаешь? pur to - зато",konekti-partikla,
pur to ," in return, instead, but then",,,
pure , (kwel) pure,"чистый, беспримесный; полнейший, чистейший: pure aira чистый воздух; pure fantasia чистая выдумка; puritaa чистота, беспримесность; безупречность; purisi очищать (от примесей), ректифицировать; purisa очищение; ректификация",kwel,
pure fantasia , sheer fantasy,,,
purga , (kwo) purge (act),,kwo,
purgi ," (zwo) purge (the body, soul, mind, party)","прочищать, очищать (прям. и перен.); purga очищение (во всех смыслах); прочистка; чистка (тж.полит.)",zwo,
"purgi-farmak, purgika ", (kwo) purge (medicine),,kwo,
purisa , (kwo) purification,,kwo,
purisi , (zwo) purify,,zwo,
puritaa , (kwo) purity,,kwo,
puritan , (kwo) Puritan,пуританин; puritanike пуританский; puritanisma пуританство,kwo,
puritanike , (kwel) puritanical,,kwel,
puritanisma , (kwo) Puritanism,,kwo,
purpur , (kwo) purple,пурпур; purpur-ney пурпурный,kwo,Cornish
purpur-ney , (kwel) purple,,kwel,
pusha , (kwo) push,,kwo,
pushi , (zwo) push,"толкать; проталкивать, продвигать; pusha толчок; pushing толкание, проталкивание; raspushi расталкивать; pushi-ofni dwar chaurem распахнуть дверь; fa-pushi bak on stula откинуться на стуле; jenmenga ek-pushi avan толпа подалась вперёд; fa-pushi a taraf шарахнуться в сторону",zwo,
pushi-ofni dwar chaurem , push the door wide open,,,
pushing , (kwo) pushing,,kwo,
putre , (kwel) rotten; putrid,"гнилой, тухлый; putri сгнивать/гноить; putrifi сгнивать; putrisi гноить; putrika что-л.гнилое; тухлятина",kwel,
putri , (zwo) rot (tr./intr.),,zwo,
putrifi ," (zwo) rot, decay, putrefy, become bad",,zwo,
putrika , (kwo) rotten stuff,,kwo,
putrisi , (zwo) make rot,,zwo,
putunhua , (kwo) Putonghua,"путунхуа, официальный язык КНР",kwo,
pwa , (kwo) pea(s),горох; горошек; grin pwa  зелёный горошек; pwa-sup гороховый суп,kwo,
pwa-sup , pea soup,,,
pyan ," (kwel) drunk, drunken, tipsy","пьяный; ta es pyan он пьян; pi pyan напиться пьяным; pyani пьянствовать; pyaning пьянство; pyannik пьяница; fa-pyan пьянеть; pyanisi (mah-pyan) пьянить, опьянять; pyannesa опьянение",kwel,
pyan wan , (someone who is) drunk,,,
pyani , (zwo) drink hard/heavily,,zwo,
pyaning ," (kwo) drunkenness, hard drinking",,kwo,
pyanisi (mah-pyan) ," (zwo) make drunk, intoxicate",,zwo,
pyannesa , (kwo) intoxication,,kwo,
pyannik , (kwo) drunkard,,kwo,Russian
pyasa , (kwo) thirst,"жажда; pyasa-ney (pyase) жаждущий; fai pyasa, sta pyase хотеть пить, жаждать (тж. перен.); defai pyasa утолять жажду",kwo,
pyasa-ney (pyase) , (kwel) thirsty,,kwel,
pyasi , (zwo) thirst,,zwo,
pyata , (kwo) plate (dish),тарелка; pyata-ki блюдце; chyen pyata мелкая тарелка; glube pyata глубокая тарелка,kwo,
pyu , (gramatika-komo) more,"1) больше (по количеству, степени): ta hev pyu mani у него больше денег; me pri se pyu это мне нравится больше; yoshi pyu ещё больше; 2) более (образует степени сравнения): yoshi pyu gao ещё выше; pyu kway более быстрый, быстрее; pyu kem больше, чем; pyu o meno hao, pyu-meno hao - более-менее хорошо; 3) больше (в отрицательных предложениях): me bu yao pyu — я больше не хочу. Fa-pyu увеличиваться, усиливаться; mah-pyu увеличивать, усиливать. Pyu-nem в большей мере, скорее",,
pyu hao ke yu go promeni , you better go for a walk,,,
"pyu o meno hao, pyu-meno hao ", more or less good,,,
pyu shao ," less, smaller amount",,,
pyu-nem ," (komo) rather, to a greater degree",,komo,
rabata ," (kwo) reduction, diminution, rebate, abatement (in price)",скидка; rabati делать скидку,kwo,
rabati , (zwo) make a reduction in (value or price),,zwo,
rabia ," (kwo) rabies, canine madness",бешенство; rabike бешеный,kwo,
rabike , (kwel) rabid,,kwel,
rada , (kwo) wheel,"колесо; dentarada зубчатое колесо, шестерня",kwo,
radiati , (zwo) radiate,,zwo,
radiatia , (kwo) radiation,"излучение; radiati лучиться, излучать, облучать",kwo,
radikal ," (kwo) radical (linguistics, chemistry)",радикал (хим.),kwo,
radikal-ney ," (kwel) radical (linguistics, chemistry)",,kwel,
radikala , (kwo) radical (a person with radical opinions),,kwo,
radikale , (kwel) radical (favouring fundamental change),радикальный; radikala радикал (человек) ,kwel,
radio , (kwo) radio,радио; radioyuan радист; fai radio радировать,kwo,
Radio es of. , The radio is off.,,,
Radio es on. , The radio is on.,,,
radiomayak , (kwo) radio beacon,,kwo,Russian
radioyuan , (kwo) radio/wireless operator,,kwo,
radioyuan , (kwo) radio/wireless operator,,kwo,
radis , (kwo) radish,редис; radisgron редька,kwo,
radon , (kwo) radon (chem.),радон (хим.),kwo,
raduga , (kwo) rainbow,радуга; raduga-ney (raduge) радужный; radugisi расцвечивать всеми цветами радуги,kwo,
raduga-ney (raduge) ," (kwel) iridescent, rainbow",,kwel,
radugisi , (zwo) rainbow,,zwo,Russian
radyum , (kwo) radium,радий (хим.),kwo,Turkish
ragi ," (zwo) jut out, protrude, stick up, stick out","торчать; выдаваться, выступать, выделяться; высовывать(ся); ragi-she торчащий; выдающийся; выступающий",zwo,
ragi-she ," (kwel) prominent, protruding",,kwel,German
rahim , (kwel) merciful; charitable,"милосердный; rahimtaa милосердие; rahimem милосердно; norahimem немилосердно, безжалостно; rahimi щадить",kwel,
rahimem , (komo) mercifully,,komo,
rahimi , (zwo) spare (treat mercifully),,zwo,Arabic
rahimtaa ," (kwo) mercy, charity, grace",,kwo,
raider , (kwo) rider,,kwo,
raidi ," (zwo) ride (on a horse), straddle","ехать верхом; raidi-shem (raidem) верхом; raider всадник, наездник; raiderina наездница",zwo,
raidi-shem (raidem) ," (komo) astride, astraddle",,komo,
raita , (kwo) right (a legal or moral entitlement),право (что-либо делать): jen raitas права человека; votiraita право голоса; egalraititaa равноправие,kwo,
raita de elekti e gei elekti , the right to elect and be elected,,exampla-ney frasa,
raja , (kwo) raja,раджа,kwo,
raker , (kwo) rider; passenger,,kwo,
raketa,2) racquet,1) ракета; ala-raketa крылатая ракета; 2) ракетка,,
raketa , (kwo) 1) rocket; missile,1) ракета; ala-raketa крылатая ракета; 2) ракетка,kwo,
raki ," (zwo) ride (to transport oneself by means of smth), drive, go by smth (tr./intr.)","ехать: me raki kaval (bus) я еду на лошади (на автобусе); raking езда; raker ездок, пассажир; rakibile проезжий; raki-lai a koysa подъезжать к чему-л.",zwo,
raki bus , go by bus,,,
raki kaval , ride a horse,,,
raki tren , go by train,,,
raki-ateni , catch up by car (or other vehicle),,exampla-ney frasa,
raki-lai a koysa , drive up to smth,,,
raki-porti , convey or transport in a vehicle,,,
rakibile ," (kwel) passable, able to be ridden along (road)",,kwel,Arabic
raking ," (kwo) ride, riding; drive, driving",,kwo,
rakonta ," (kwo) tale, narrative, story, account",,kwo,
rakonti ," (zwo) narrate, tell, give an account, recount","рассказывать; rakonta рассказ; rakonting рассказывание, пересказ",zwo,
rakun , (kwo) racoon,енот,kwo,
ramla , (kwo) sand,песок; ramlinka песчинка; ramlakloka песочные часы; kinda-ramlika детская песочница,kwo,
ramlakloka , (kwo) hourglass,,kwo,Arabic
ramlinka , (kwo) grain of sand,,kwo,
randa , (kwo) plane (tool),рубанок,kwo,"Tajik, Hindi"
rane , (kwel) early,ранний; muy ranem очень рано; ranitaa рань,kwel,
ranem , (komo) early Ant.: tarde,,komo,Russian
ranem pa sabah , early in the morning,,,
ranflor ," (kwo) early flowers, primrose Syn.: primula (Origin: rane + flor)","ранние цветы, первоцветы (тж. primula)",kwo,Lidepla
ranga ," (kwo) rank (level, position in society or organization)","ранг, чин, звание, социальное или служебное положение",kwo,
ranunkul , (kwo) buttercup,лютик,kwo,
rap , (kwo) rap music,рэп,kwo,
rapi , (zwo) rap,,zwo,
rare ," (kwel) rare, infrequent",редкий; rarem редко; rarika раритет; rarves изредка,kwel,
rarem ," (komo) seldom, rarely, infrequently",,komo,
rarika , (kwo) rarity (a rare object),,kwo,
raritaa , (kwo) rarity (rareness),,kwo,
ras ," (syao) ""separation, division, or dispersion""","глагольная приставка, означает разъединение, разделение на части, рассеяние: dai давать – rasdai раздать; sendi посылать – rassendi разослать; lwo падать – raslwo распасться; kusi кусать - raskusi раскусить; rasmuvi handas развести/раздвинуть руки; rasgo разойтись (в разные стороны); rasstepi - расступиться; raspon - раскладывать, расставлять; rasgoni - разгонять; ras-haki - разрубить на куски; rasflai a oli taraf - разлетаться во все стороны",syao,Slavic
ras-haki,to hack to pieces,,zwo,
rasa , (kwo) race (breed),раса,kwo,
rasdai,"to distribute, give to several people",,zwo,
rasflai,to fly apart,,zwo,
rasflai a oli taraf , fly in all directions,,exampla-ney frasa,
rasfobisi , scare/frighten away,,,
rasgoni,"to drive away, disperse, scatter",,zwo,
raslansi,"to throw around, scatter",,zwo,
raslansi ," to throw around, scatter",,,
raslwo,to fall to pieces,,zwo,
rasma ," (kwo) drawing (smth drawn: picture, diagram, etc.)",рисунок; чертёж; узор; rasmi рисовать; чертить; rasming рисование,kwo,
rasmi , (zwo) draw (depict with lines),,zwo,
rasming , (kwo) drawing (act or instance; the art),,kwo,Arabic
rasmuvi,to move apart,,zwo,
raspendi,to hang out,,zwo,
raspi ," (zwo) scrape, rasp, abrade, graze","сдирать, обдирать; снимать верхний слой, скоблить; raspitura ссадина, ободранное место; raspitul рашпиль",zwo,
raspitul , (kwo) rasp file,,kwo,
raspitura ," (kwo) graze, abrasion",,kwo,
raspon,"to lay out, place",,zwo,
raspushi , (zwo) push away / apart,,zwo,
rasrupti ," (zwo) knock to pieces, to smash into smithereens",,zwo,
rassendi,to send out/round,,zwo,
rasshwai ," (zwo) scatter, throw about",,zwo,Mandarin
rasstepi ," (zwo) give way, part, step aside",,zwo,
rasta , (kwo) rake (tool),"грабли; rasti сгребать или разрыхлять (граблями); rasting сгребание, разрыхление",kwo,
rasti , (zwo) rake,,zwo,
rasting , (kwo) raking,,kwo,
rasum , (kwo) reason (cognitive faculties; reasoning; ability to think ,"разум; благоразумие, здравомыслие; rasum-ney разумный; благоразумный, дельный, здравый, целесообразный; jen do rasum (благо)разумный человек; norasum-ney akta неразумный поступок",kwo,
rasum-nem , (komo) reasonably,,komo,Russian
rasum-ney , (kwel) reasonable,,kwel,
rata , (kwo) rat,крыса,kwo,
rauba ," (kwo) robbery, brigandage, pillage",,kwo,
rauber ," (kwo) robber, brigand",,kwo,
raubi ," (zwo) rob, maraud, plunder, loot","разбойничать, грабить; разграбить; rauba разбой, грабёж; rauber разбойник, грабитель",zwo,
rauka ," (kwo) wheeze, hoarse sound","хрип, хрипение; rauki хрипеть, сипеть; прохрипеть; rauka-ney (rauke) хриплый, охрипший, сиплый",kwo,
rauka-ney (rauke) ," (kwel) hoarse, raucous, husky",,kwel,
rauki ," (zwo) wheeze; speak hoarsely, croak; be hoarse",,zwo,
raunda , (kwo) round (a unit of play),раунд,kwo,
ravan , (kwo) amble (of a horse),"иноходь; ravaner, ravan-kaval - иноходец",kwo,
"ravaner, ravan-kaval ", (kwo) ambler,,kwo,"Turkish, Bulgarian"
ray ," (kwo) ray, beam","луч; rayvati лучиться, испускать лучи; smaili-rayvati por joisa широко улыбаться, сиять от радости",kwo,
ray-fasia , sheaf of rays,,,
rayvati , (zwo) beam,,zwo,
"raza, razing "," (kwo) shave, shaving",,kwo,
razer , (kwo) razor,,kwo,
razi , (zwo) shave,"брить, razi swa бриться; razer бритва",zwo,
razi swa , shave oneself,,,
re , (kwo) D (mus.),ре (муз. нота),kwo,
rea , (kwo) yard (nautical),рея,kwo,
reaksion ," (kwo) reaction (chemistry, physics)","реакция (хим., физ.); reaksioni вступать в реакцию",kwo,
reaksioni ," (zwo) react (chemistry, physics)",,zwo,
reakta , (kwo) reaction,,kwo,
reakti , (zwo) react (act in response),"реагировать; reakta реакция, ответное действие",zwo,
reale , (kwel) real,"реальный, действительный; realitaa реальность, действительность: in realitaa в действительности; realisi реализовать, осуществлять; realifi сбываться, свершаться, осуществляться; realisa осуществление, реализация; realisibile осуществимый",kwel,
realem , (komo) really,,komo,
realifi ," (zwo) come true, be realized",,zwo,
realisa ," (kwo) realization (making real), accomplishment",,kwo,
realisi , (zwo) realize (make real),,zwo,
realisibile , (kwel) realizable,,kwel,
realitaa , (kwo) reality,,kwo,
rebela , (kwo) rebellion,,kwo,
rebeli , (zwo) rebel,"восставать, бунтовать; rebela восстание, мятеж, бунт; rebelnik мятежник, бунтовщик",zwo,
rebelnik , (kwo) insurgent,,kwo,
redakta (redaktura) ," (kwo) redaction, version",,kwo,
redakter , (kwo) editor,,kwo,
redakti , (zwo) edit,редактировать; redakter редактор; redakta редакция (редактирование - тж.redakting; вариант текста - тж.redaktura); redaktitim редакция (коллектив); redaktiguan редакция (учреждение),zwo,
redaktiguan , (kwo) editorial office,,kwo,
redakting , (kwo) redaction (process of editing),,kwo,
redaktitim , (kwo) editorial staff,,kwo,
redukta , (kwo) reduction,,kwo,
redukter , (kwo) reducer,,kwo,
redukti , (zwo) reduce,"сократить, уменьшить, ограничить, редуцировать; redukta сокращение, уменьшение, редукция; redukter редуктор",zwo,
referendum , (kwo) referendum,референдум,kwo,
reflekta , (kwo) reflection,,kwo,
reflekti ," (zwo) reflect (throw or bend back from a surface, mirror ",отражать; reflekta отражение,zwo,
reflexa ," (kwo) reflex (physiology, phychology)",рефлекс,kwo,
reflexive , (kwel) reflexive (gram.),"возвратный, рефлексивный (грам.)",kwel,
reforma , (kwo) reform,,kwo,
reformi ," (zwo) reform, amend for the better",реформировать; reforma реформа,zwo,
refrena , (kwo) refrain (burden of song),припев,kwo,
refuja ," (kwo) refuge, shelter","приют, прибежище; refuji давать/предоставлять убежище; искать/находить убежище, укрываться",kwo,
refuji ," (zwo) refuge, shelter",,zwo,
refusa , (kwo) refusal,,kwo,
refusi ," (zwo) refuse, decline",отказывать(ся); refusa отказ,zwo,
refuta ," (kwo) refutation, disproof",,kwo,
refuti ," (zwo) refute, confute, disprove",опровергать; refuta опровержение,zwo,
rega ," (kwo) monarch, king/queen","монарх; rego король (тж. шахм.); regina королева (тж. шахм.); regale королевский; regi царствовать, царить; reging царствование; regilok, regilanda царство, королевство",kwo,
regale ," (kwel) royal, regal, kingly",,kwel,
regei , (kwo) reggae,регги,kwo,
regi , (zwo) reign,,zwo,
"regilok, regilanda "," (kwo) kingdom, realm",,kwo,
regimenta , (kwo) regiment,полк,kwo,
regina , (kwo) queen (also chess),,kwo,
reging , (kwo) reign,,kwo,
region , (kwo) region (all senses),район; регион,kwo,
regionale , (kwel) regional,,kwel,
register ," (kwo) register (computer science, music)",регистр,kwo,
registra , (kwo) registration,,kwo,
registri ," (zwo) register (record, enter, enroll)","учитывать, регистрировать; registra учёт, регистрация",zwo,
rego , (kwo) king (also chess),,kwo,
regula ," (kwo) rule, regulation","правило; kom regula как правило; regulare регулярный; regularitaa регулярность; reguli регулировать; reguling регуляция; regulator регулятор; regulatot свод правил, устав",kwo,
Regula treba klarisa. , The rule needs clarification.,,,
regulare , (kwel) regular,,kwel,
regularitaa , (kwo) regularity,,kwo,
regulator , (kwo) regulator,,kwo,
regulatot , (kwo) regulations,,kwo,
reguli , (zwo) regulate,,zwo,
reguling , (kwo) regulation (act of regulating),,kwo,
reina , (kwo) rein,"вожжа, повод; reinas вожжи; бразды правления",kwo,
rejekta , (kwo) rejection,,kwo,
rejekti , (zwo) reject,"отвергать; отклонять; забраковать; rejekta непринятие, отклонение; отторжение; признание негодным",zwo,
rejim ," (kwo) regime, regimen",режим,kwo,Turkish
rejisor , (kwo) director (in a show or film),режиссёр,kwo,Turkish
rek ," (komo) right (directly, straight; downright, quite) Syn.: ga; direktem","прямо (непосредственно; совершенно), прямо-таки; chi rek bay handas есть прямо руками; es rek stupide это откровенно глупо; mar roli-ondi rek an mur de palas море подкатывает прямо к стенам дворца",komo,
reka ," (kwo) streak, stroke, line (cf. “treta”)","черта, штрих; чёрточка (сравни treta)",kwo,Hindi
reklama ," (kwo) advertisement; ad, commercial",реклама; reklami рекламировать; reklaming рекламирование,kwo,
reklami , (zwo) advertise,,zwo,
reklaming , (kwo) advertising,,kwo,
rekola , (kwo) harvest,"урожай; rekoli собирать (урожай), жать; rekoling сбор урожая, жатва",kwo,
rekoli , (zwo) harvest,,zwo,
rekoling , (kwo) harvesting,,kwo,
rekomenda , (kwo) recommendation,,kwo,
rekomendi , (zwo) recommend,рекомендовать; rekomenda рекомендация,zwo,
rekompensa ," (kwo) requital, recompense",,kwo,
rekompensi ," (zwo) recompense, reward, remunerate","воздавать, о(т)плачивать, награждать; rekompensa воздаяние, награда",zwo,
rekona , (kwo) recognition,,kwo,
rekoni ," (zwo) recognize (identify; acknowledge, admit, own)","признавать (тж. опознавать, узнавать, распознавать); rekona признание; узнавание, опознание; rekoni pa vos узнавать по голосу; rekoni nodependa признать независимость; rekoni swa-ney galta признать свои ошибки; misrekoni обознаться",zwo,
rekoni lao amiga , recognize an old friend,,,
rekoni nodependa , to recognize the independence,,,
rekoni nodependa , recognize independence,,,
rekoni pa vos , recognize by voice,,,
rekoni swa-ney galta , admit one's mistakes,,,
rekonsila , (kwo) reconciliation,,kwo,
rekonsili , (zwo) reconcile,"мирить(ся), примирять(ся)",zwo,
rekor , (kwo) record (unsurpassed measurement),рекорд,kwo,Turkish
rekorda ," (kwo) record, recording",,kwo,
rekorder ," (kwo) recorder, tape recorder",,kwo,
rekordi ," (zwo) record, make an audio/video recording","записывать (на плёнку etc.); rekorda запись; rekorder рекордер, магнитофон",zwo,
rekordi audio , record audio,,exampla-ney frasa,
rekordi video , record video,,,
rekruta ," (kwo) recruit, conscript","рекрут, новобранец; rekruti рекрутировать, призывать, вербовать",kwo,
rekruti ," (zwo) recruit, enroll, enlist",,zwo,
rektangula , rectangle,,,
rektangula , (kwo) rectangle,,kwo,
rekte , (kwel) straight (not crooked or bent),"прямой; rektem прямо; rektangula прямоугольник; rekta прямая (линия); rektisi распрямить, выпрямить; rektisi swa pa fule gaotaa распрямиться во весь рост",kwel,
rekte angula , right angle,,,
rekte linia , a straight line,,,
rektisi , (zwo) straighten,,zwo,
rel , (kwo) rail (the metal bar that makes the track for a railroad),рельс,kwo,
relata ," (kwo) relation, relationship (connection; condition of being related)",,kwo,
relatem ," (konekti) in relation to, relative to","по отношению к, относительно: un relatem otre - один относительно другого; lu es neutrale relatem sey kwesta он нейтрален по отношению к этому вопросу",konekti-partikla,
relati , (zwo) relate (have connection or relationship),"относиться (иметь связь, быть в каком-то отношении); relata отношение; взаимоотношения; relative относительный; relativem относительно, сравнительно: relativem gran относительно большой",zwo,
relative , (kwel) relative,,kwel,
relativem , (komo) relatively,,komo,
relativitaa , (kwo) relativity,,kwo,
relief , (kwo) relief (shape),рельеф,kwo,
religion , (kwo) religion,религия; religion-ney религиозный (относящийся к религии),kwo,
religion-ney , (kwel) religious (of religion),,kwel,
religionful , (kwel) religious (having reverence for God),,kwel,
reloka , (kwo) relocation,,kwo,
reloki , (zwo) relocate,"переставлять, передвигать, перемещать, переселять; передислоцировать; перебазировать; relokifi переселяться, перебираться",zwo,
relokifi ," (zwo) move (to), migrate, transmigrate, resettle",,zwo,
rema , (kwo) oar,"весло; remi грести; reming гребля; ek-reming взмах вёсел, гребок",kwo,
remarka ," (kwo) remark (comment, a casual or brief expression of opinion)",,kwo,
remarki , (zwo) remark (express briefly and casually as a comment),"сделать замечание; remarka замечание, ремарка",zwo,
rememba ," (kwo) recollection, reminiscence",,kwo,
remembi , (zwo) remember (have in memory; recall from memory),помнить; вспомнить; rememba воспоминание; mah-remembi напомнить; pa rememba de koysa на память о чём-л.,zwo,
remer ," (kwo) rower, oarsman",,kwo,
remi , (zwo) row (propel a boat by use of an oar),,zwo,
reming , (kwo) rowing,,kwo,
remorsa , (kwo) remorse,,kwo,
remorsi , (zwo) feel remorse,"раскаиваться, сожалеть, мучиться угрызениями совести; remorsa угрызения совести; раскаяние, сожаление",zwo,
renega , (kwo) renegation,,kwo,
renegat ," (kwo) renegade, apostate","ренегат, отступник; вероотступник; renegat-ney ренегатский, отступнический",kwo,
renegat-ney ," (kwel) renegade, apostate",,kwel,
renegi ," (zwo) renege, break a promise or commitment, go back on one’s word",изменить своему слову; renega  отступничество,zwo,
rensheng , (kwo) ginseng,женьшень,kwo,Mandarin
renta , (kwo) rent (payment),рента,kwo,Spanish
rentgenyum , (kwo) roentgenium (chem.),рентгений (хим.),kwo,
renversa , (kwo) overthrow,,kwo,
renversi ," (zwo) capsize, overturn; overthrow, subvert","опрокидывать(ся), перевёртывать(ся); валить, ниспровергать, свергать; renversa опрокидывание; свержение, переворот",zwo,
renyum , (kwo) rhenium (chem.),рений (хим.),kwo,
repa , (kwo) turnip,репа,kwo,Russian
repara , (kwo) repair,,kwo,
reparaguan , (kwo) repair shop/station,,kwo,
repari , (zwo) repair,"ремонтировать, чинить; repara ремонт, починка; repari-ney (reparen) отремонтированный. Mah butas reparen - сдать ботинки в ремонт. Reparaguan ремонтная мастерская",zwo,
repari-ney (reparen) , (kwel) repaired,,kwel,
repela ," (kwo) repelling, repulsion",,kwo,
repeler , (kwo) repellent,,kwo,
repeli ," (zwo) repel (put off, force away)","отталкивать(ся), отбрасывать, оказывать сопротивление; elektre sharja do same signa repeli mutu электрические заряды одинакового знака отталкиваются; repeler репеллент",zwo,
repertuar ," (kwo) repertoire, repertory",репертуар,kwo,French
repeta , (kwo) repetition; rehearsal,,kwo,
repeti , (zwo) repeat; rehearse (practice by repetition),повторять(ся); репетировать; repeta повторение; репетиция (тж.repetision),zwo,
replasa , (kwo) replacement,,kwo,
replasi ," (zwo) replace, displace, supersede","заменять, замещать; replasa замена",zwo,
replika ," (kwo) cue, retort, replication, rejoinder, reply",,kwo,
repliki ," (zwo) cue, retort, rejoin, reply","подавать реплику, высказывать свое мнение, высказываться (в диалоге); replika реплика",zwo,
reporta ," (kwo) report, account, reportage","доклад, отчёт, сообщение, репортаж; reporti делать доклад, отчёт, сообщение; reporter репортёр",kwo,
reporter , (kwo) reporter,,kwo,
reporti ," (zwo) report, give an account",,zwo,
reposa ," (kwo) rest, repose",,kwo,
reposi ," (zwo) rest, take/have a rest, repose",отдыхать; покоиться; reposa отдых; reposi-stopa привал,zwo,
reposi-stopa ," halt, rest",,,
represa , (kwo) repression,,kwo,
representer , (kwo) representative,,kwo,
representi , (zwo) represent (stand for; be the representative of; depict),"представлять собой; быть изображением; быть представителем, представлять (какое-л. лицо или организацию); representer представитель",zwo,
represi ," (zwo) repress, check, restrain, suppress, subdue","подавлять, усмирять; сдерживать, обуздывать (прям. и перен.): represi rida сдержать смех; represa подавление, сдерживание, обуздывание; репрессия",zwo,
represi rida , repress a laugh,,,
reprodukta , (kwo) reproduction,,kwo,
reprodukti , (zwo) reproduce,размножаться; reprodukta размножение; reproduktive репродуктивный,zwo,
reproduktive , (kwel) reproductive,,kwel,
reprosha ," (kwo) reproach, reproof, rebuke",упрёк; sinreprosha-ney (sinreproshe) безупречный; reproshi упрекать,kwo,
reproshi ," (zwo) reproach, upbraid",,zwo,
reptila , (kwo) reptile,рептилия,kwo,
republika , (kwo) republic,республика; republikista республиканец,kwo,
Republika Dominicana , (kwo) Dominican Republic,,kwo,
republikista , (kwo) republican,,kwo,
reputasion , (kwo) reputation,репутация,kwo,
resepta , (kwo) recipe,рецепт,kwo,
reserva ," (kwo) reserve, store, stock","резерв, запас; reservi резервировать, запасать; reserva-ney (reserve) запасной, резервный",kwo,
reserva-ney (reserve) ," (kwel) reserve, spare, held in or forming a reserve",,kwel,
reservi ," (zwo) reserve, save, set apart, lay by or up",,zwo,
residi ," (zwo) reside, dwell, abide","пребывать, находиться, иметь резиденцию; resida пребывание; residilok резиденция; местожительство; местонахождение, местопребывание",zwo,
residilok ," (kwo) residence, abode",,kwo,
resista , (kwo) resistance,,kwo,
resisti , (zwo) resist,"сопротивляться; resisti koysa выдержать что-л., устоять, не поддаться; resista сопротивление",zwo,
resisti koysa , withstand smth,,,
resiva , (kwo) reception,,kwo,
resiver , (kwo) receiver (device),,kwo,
resivi , (zwo) receive,"получать; принимать, встречать; resiva получение; приём; встреча, приём; resivi-sha получатель; встречатель; resiver приёмник; resivishamba приёмная; resivi-nota расписка (в получении)",zwo,
resivi-nota , (kwo) receipt (written acknowledgement of receipt),,kwo,
resivi-sha ," (kwo) recipient, receiver (person), receptionist",,kwo,
resivishamba ," (kwo) reception, parlour",,kwo,
resiviyuan , (kwo) receptionist,,kwo,
resolusion , (kwo) resolution (formal decision),резолюция,kwo,
resolute ," (kwel) resolute, determined, firm, unwavering","решительный, не колеблющийся, твёрдый; resolutenesa решительность, решимость, твёрдость; resoluti zwo koysa быть решительно настроенным сделать что-л.",kwel,
resolutem , (komo) resolutely,,komo,
resolutenesa ," (kwo) resoluteness, determination, resolution",,kwo,
resoluti , (zwo) be resolved,,zwo,
resolva ," (kwo) solution (answer, plan)",,kwo,
resolvi ," (zwo) solve, resolve (find solution ","разрешать (проблему); решать; resolva решение, разрешение (вопроса)",zwo,
reson ," (kwo) reason, grounds; point, sense; argument","резон, довод, основание, причина; resoni рассуждать, аргументировать; resoning, resona рассуждение; resonful резонный",kwo,
"resona, resoning ", (kwo) reasoning,,kwo,
resonansa , (kwo) resonance,резонанс; resonansi резонировать,kwo,
resonansi , (zwo) resonance,,zwo,
resonful ," (kwel) reasonable, well-grounded, having a point",,kwel,
resoni , (zwo) reason,,zwo,
resora , (kwo) spring (of vehicle),рессора,kwo,
respekta ," (kwo) respect, esteem","уважение; respekti уважать; respektival почтенный, заслуживающий уважения, респектабельный",kwo,
respekti ," (zwo) respect, esteem",,zwo,
respektival ," (kwel) respectable, honourable",,kwel,
responsa , (kwo) responsibility,,kwo,
responsi , (zwo) be responsible (om koysa ,"быть ответственным за, отвечать за; responsi-she ответственный; responsa ответственность",zwo,
responsi-she , (kwel) responsible,,kwel,
resta ," (kwo) remainder, rest",,kwo,
resta-ney (reste) , (kwel) remaining,,kwel,
restes , the rest (people),,,
